College,Prefix,Number,Title,ND,EI,IC,FQ,SI,AD,DD,ER,WF,WD,WI,EX,CE,Description,Rating
BV,CAEP,1280,Introduction to Mindfulness,0,0,1,0,0,0,0,0,0,0,0,0,0,"Explores modern mindfulness practices and how these practices were derived from Eastern spiritual teachings, including Buddhism and Hinduism. Describes the current literature related to potential health and wellness outcomes of a mindfulness practice. Examines various meditation techniques, as well as accompanying practices such as yoga and breath work. Focuses on developing and practicing daily mindfulness using a highly experiential approach. Offers students an opportunity to learn and discuss the foundations on which such practices are based.",2
BV,CAEP,2030,Education and Learning in Ghana,0,0,0,0,0,0,0,0,0,0,0,1,0,"Explores education and learning in educational institutions in Ghana, West Africa. Examines learning with a focus on primary and secondary schools in the context of Ghanaian policies, structures, and culture. Examines issues of educating the Ghanaian citizenry in contrast to issues faced in the United States. Introduces the current standards of education in Ghana and the policies that guide those standards. Offers students an opportunity to witness how Ghanaian culture educates students with disabilities.",5
BV,CAEP,2040,Higher Education in Ghana,0,0,0,0,1,0,0,0,0,0,0,0,0,"Examines the academic programs and the administration of student services/affairs and student development in institutions of higher education in Ghana, West Africa.Explores higher education institutions and student development in the context of Ghanaian culture and society. Considers college student development theories as they relate to Ghanaian students. Compares Ghanaian colleges and universities with institutions in the United States.",2
BV,CAEP,2050,"Health Systems, Services, and Education in Ghana",0,0,0,0,0,0,0,0,0,0,0,1,0,"Explores healthcare systems, services, education, and training in Ghana, West Africa. Discusses Ghana’s medical facilities, services, training institutions, and policies that affect prenatal care, women's health, chronic and communicable diseases, traditional medicine, and general health issues. Explores preventative, immediate, and remedial care and healthcare delivery issues and challenges in Ghana.This is a Dialogue of Civilizations course.",2
BV,CAEP,2060,Health and Well-Being in Ghana,0,0,0,0,1,0,0,0,0,0,0,0,0,Explores issues involving health and well-being in a Ghanaian context. Utilizes frameworks of well-being to examine ways in which Ghanaian healthcare institutions provide services to its citizenry. Offers students an opportunity to engage in a comparative analysis of college student health and well-being to that of students in U.S. institutions of higher education.,5
BV,CAEP,2280,"The Yoga Tradition in Nepal: Philosophy, Methods, and Practice",0,0,1,0,0,0,0,0,0,0,0,1,0,"Introduces key aspects of the yoga tradition including preclassical, classical, postclassical, and modern aspects. Explores teachings from both the Hindu and Tibetan traditions, including the eight limbs of yoga, Hatha Yoga, and Yantra Yoga practices. Describes the research on mental and physical health outcomes from a regular yoga practice.",3
BV,CAEP,2290,"The Yoga Tradition: Philosophy, Methods, and Practice",0,0,1,0,0,0,0,0,0,0,0,0,0,"Introduces preclassical, classical, postclassical, and modern aspects of the yoga tradition. Explores teachings from both the Hindu and Tibetan traditions, including the eight limbs of yoga, Hatha Yoga, and Yantra Yoga practices. Describes the research on mental and physical health outcomes from a regular yoga practice.",2
BV,CAEP,3000,Contemporary College Student Activism,0,0,0,0,1,0,0,0,0,0,0,0,0,"Explores college student activism from historical foundations, present-day causes, and the possible burgeoning motivations for student activism. Describes student movements in the context of the times in which they exist, such as free speech, antiwar, Occupy Wall Street, and Black Lives Matter, as well as in the time of a pandemic and social unrest. Presents activism as college student development and as a continuing catalyst for changing higher education. Considers the role of media and social media in student activism. Explores the significance of quasi/backlash student movements such as the white student scholarship movement. Offers students an opportunity to work in task groups to think critically about the next generation of student activism.",5
BV,CAEP,3200,Childhood Adversity and College Attainment,0,0,0,0,0,0,1,0,0,0,0,0,0,"Introduces students to Adverse Childhood Experiences (ACE) and their prevalence in the childhoods of certain college student populations. Examines how these potentially traumatic events that occur during the ages of 0–17 are linked to chronic health problems, mental illness, and substance misuse in adulthood. Studies how the manifestation of ACE during the college years has implications for student development theory application and administration of services and programs on campuses, as well as ACE’s impact on education, job opportunities, and college student degree attainment. Explores the classifications of ACE—pandemic, natural disaster, terrorist attack, or racial and social injustice—and the possible implications of living through, making life adjustments, or absorbing constant media coverage as a result of these experiences.",4
BV,CAEP,3310,Say It Loud: The Black Power Movement and Higher Education,0,0,0,0,0,0,1,0,0,0,0,0,0,"Explores the impact of the Black Power movement on American colleges and universities. Examines the history of the movement and its relationship to the civil rights movement and the various impacts of Black Power on contemporary higher education. Traces how the movement led to distinct ideologies, scholarship, practices, and terminology that provided new lenses through which institutions of higher education viewed Negroes in terms of the preservation, transmittal, and enrichment of their culture by means of instruction and scholarly and scientific work. Explores Negro college students’ adoption of a Black identity and making demands on campuses that manifested in curricula, programs, and services that represented this identity.",2
BV,CAEP,5150,Early Intervention: Family Systems,0,0,0,0,0,0,1,0,0,0,0,0,0,"Introduces students to the theory and practice of family interventions with a diverse population including infants, toddlers, and preschoolers with special needs. Discusses family systems, developmental, coping, crisis, and ecological theories and practices. Teaches assessment and intervention skills. Integrates theories of exceptionality as they pertain to family systems into course material.",5
BV,HLTH,2100,Interprofessional Ethics for Individual and Population Health,0,0,0,0,0,0,0,1,0,0,1,0,0,"Provides case reviews and discussion related to basic theories, principles and contemporary issues of bioethics. Secondarily, this course is an interprofessional course that covers specific ethical guidelines for various health disciplines from nursing, pharmacy, health sciences, and others. Offers students an opportunity to develop systematic strategies and analytic frameworks for identifying and examining bioethical issues and for resolving bioethical dilemmas and problems. Students have an opportunity to apply their specific discipline’s ethics code and work in multidisciplinary groups to apply ethical principles from different perspectives.",1
BV,HLTH,5280,The (in)Visibility of (dis)Ability in Society,0,0,0,0,0,0,1,0,0,0,0,0,0,"Addresses the issues of disability relative to culture, public policy, rights, and advocacy. Focuses class discussion on the experiences of people with disabilities living in our current society as well as from a historical perspective. Explores the following topics: who is disabled, social attitudes toward people with disabilities, and images and stigma in the media. Also covers the language of disability, disability culture, and the forgotten minority. Affords students an opportunity to gain a broad understanding of the complex and dynamic issues and themes concerning people with disabilities.",5
BV,HLTH,5700,Social Determinants of Health,0,0,0,0,1,0,0,0,0,0,0,0,0,"Introduces social and structural conditions as key contributors to people’s physical and mental health. Describes unjust and avoidable socioeconomic conditions considered to be the main contributors to health inequities. Meets a growing demand for health professionals to have fundamental knowledge of the social determinants of health, including social isolation and social support; structural/ institutional racism; income inequality; and social and economic policies. Provides an opportunity to develop awareness of the role of social determinants of health in population health; knowledge of the pathways through which they impact health; awareness of the specific ways the health of different populations and demographic groups is impacted; and enhanced evaluation, diagnosis, and communication with patient and clients.",3
BV,HSCI,1105,Human Nutrition,1,0,0,0,0,0,0,0,0,0,0,0,0,"Examines the fundamental role of nutrition in promoting health and how lifestyle and the socioecological model work together. Covers the physiological functions of energy-providing nutrients in the body and interrelationships, including the key functions of macronutrients and micronutrients. Introduces the use of two different diet assessment tools to assist individuals in selecting food for health promotion. Offers students an opportunity to gain a deeper understanding of what it means to make healthy choices and the role nutrients have on a person’s wellness.",2
BV,HSCI,1106,Contemporary Issues in Nutrition,1,0,0,0,0,0,0,0,0,0,0,0,0,"Explores the fundamental role of nutrition in promoting health. Offers an overview of nutrient functions, compositions, and digestion/absorption. Relates concepts covered in class to current topics of interest in nutrition. Offers students an opportunity to discuss their dietary behaviors in relation to the Dietary Guidelines for Americans.",4
BV,HSCI,4720,Health Science Capstone—Service,0,0,0,0,0,0,0,0,0,0,0,0,1,"Offers students an opportunity to integrate their course work, knowledge, and experiences into a project that results in a written report and presentation regarding an issue within the field of health or healthcare. The project is a culminating experience in the health science program. Includes working with a mentor in a field experience in public health education or health policy, public affairs, social service, or other healthcare environment in which the student is qualified. Requires students to present their projects to the seminar class and possibly to the agency or group with which they are working.",5
BV,HSCI,4730,Health Science Capstone—Research,0,0,0,0,0,0,0,0,0,0,0,0,1,"Offers students an opportunity to integrate their course work, knowledge, and experiences into a project that results in a written report and presentation regarding an issue within the field of health or healthcare. The project is a culminating experience in the health science program. Students may choose to participate in an ongoing research project or create and implement their own research project as their capstone project. Requires students to present their projects to the seminar class and possibly to present a poster at a professional/research expo.",4
BV,HSCI,4740,Health Science Capstone Seminar,0,0,0,0,0,0,0,0,0,0,0,0,1,"Offers intensive study on the public health approach to a specific, relevant issue. Through a combination of close readings of empirical literature and interactive class discussion, students critique public health approaches and policies regarding the topic of the seminar. Requires students to complete an in-depth study, write a paper, and present their findings on a topic of interest within the larger discussion.",5
BV,HSCI,4971,Junior/Senior Honors Project 2,0,0,0,0,0,0,0,0,0,0,0,0,1,Focuses on second semester of in-depth project in which a student conducts research or produces a product related to the student’s major field. May be repeated without limit.,3
BV,NRSG,2150,Ethical Healthcare: Genetics and Genomics,0,0,0,0,0,0,0,1,0,0,0,0,0,"Presents an overview of bioethics and, more specifically, the application of ethics including the implication of genetics/genomics in healthcare across the life span. Students apply the Code of Ethics for Nurses to case studies that address dilemmas in multiple settings with a diverse patient population. Considers issues related to biomedical, clinical, genetic/genomic, social, and legal aspects and integrates such considerations into ethical decision making. Offers students an opportunity to work as a team and be encouraged to respect alternative viewpoints to address realistic ethical dilemmas encountered in contemporary healthcare. Appropriate and relevant for all students interested in expanding their view and appreciation of health dilemmas.",2
BV,NRSG,2210,Influences on Health and Illness: A Nursing Perspective,0,1,0,0,0,0,1,0,0,0,0,0,0,"Offers a context within which students have an opportunity to begin to understand, develop, and nurture a professional nursing identity. Through situated learning within a model of whole-person care, the student may utilize clinical imagination and reasoning to explore culturally mediated behaviors and meanings that are ascribed to health and illness experiences across the life span. Empirical, personal, ethical, and aesthetic ways of knowing create a framework for personal reflection and reflexivity. Integrated learning strategies guide the beginner’s study of communication and relationships with patients, families, and providers. Guiding course principles include foundations of the nursing profession, nursing self-care and well-being, compassionate care, social justice, and quality and safety.",1
BV,NRSG,4604,Public Health Community Nursing,0,0,1,0,0,0,0,0,0,0,0,0,0,"Introduces population-focused nursing and applies the nursing process to the community as client. Examines evidence-based health-promotion strategies in a variety of community settings. Addresses core functions and essential services of public health, and introduces epidemiological and economic concepts and models. Emphasizes the involvement of the community/public health nurse in ethical issues and health policy, focusing on vulnerable populations in giving cultural and linguistic-competent care. Examines community-based strategies and interprofessional collaboration to care for underserved populations in both urban and suburban communities. Emphasizes the community/public health nurse as a population-focused care provider, case manager, deliverer of quality nursing care, care coordinator, critical thinker, liaison between agencies, and nursing researcher.",3
BV,NRSG,4605,Clinical for NRSG 4604,0,0,0,0,0,0,0,0,0,0,0,1,0,"Seeks to facilitate the student’s socialization to population-focused nursing and to plan care for the community as client. Emphasizes the application of knowledge when addressing core functions and essential services of public health, epidemiology, and economic concepts and models. Students engage in cultural and linguistic-appropriate health assessment, health promotion, and illness-prevention strategies in a variety of community settings. This may include acting as a community/public health nurse for ethical issues, health policy, coordination of care, interprofessional collaboration, liaison between agencies, and facilitation of healthcare research. Examines and evaluates types of community-based strategies used to serve underserved and vulnerable populations to ensure quality care for those living in both urban and suburban communities.",4
BV,NRSG,4610,Managing and Leading in Healthcare,0,0,0,0,0,0,0,0,0,0,1,0,1,"Introduces various theoretical frameworks that support principles of leadership and management in nursing in all types of organizational settings. Emphasizes developing, enhancing, and demonstrating leadership skills, competencies, and aptitudes. Exposes students to practical situations in the management of current and practical patient care in diverse healthcare settings. Integrates organizational structure; methods of nursing care delivery; comparison of management and nursing processes; decision making; change; communication skills; interprofessional collaboration; team building; ethical considerations; interpersonal skills of effective nursing leadership and management; and organizational issues related to the quality of client, family, and personal outcomes.",1
BV,NRSG,4611,Managing and Leading in Healthcare—An International Perspective,0,0,0,0,0,0,0,0,0,0,1,0,1,"Introduces varied theoretical frameworks in all types of organizational settings that support principles of healthcare leadership and management within a nursing management context. Emphasizes developing, enhancing, and demonstrating leadership skills, competencies, and aptitudes. Exposes students to practical situations in the management of healthcare in global settings. Offers upper-level students an opportunity to investigate healthcare leaders’ roles and to prepare for a leadership role within various health settings. Integrates organizational structure, healthcare delivery methods, comparison of management processes, decision making, change, interprofessional communication and collaboration, team building, ethical considerations, interpersonal skills of effective healthcare leadership and management, and organizational issues related to quality outcomes.",2
BV,NRSG,5120,Statistics for Health Science,0,0,0,1,0,1,0,0,0,0,0,0,0,Focuses on applying formal reasoning to understand the underlying principles of statistics; how to select and conduct statistical tests; and how to interpret and use the results of data analysis in relation to research questions and research hypotheses.,1
BV,NRSG,5220,Introduction to Research Methods and Application for Healthcare,1,0,0,0,0,0,0,0,0,0,1,0,0,"Introduces students to the different types of research methodologies used by healthcare disciplines. Emphasizes designing research studies and application of research findings to practice within the student's particular discipline. Topics include foundations of research, ethical conduct of research, research methodologies, concepts of measurement, qualitative and quantitative research design, and the analysis and dissemination of research findings. Discusses the importance of research to both healthcare practitioners and consumers with an emphasis on patient-centered outcomes.",5
BV,PHMD,2310,Professional Communication in Pharmacy Practice,0,0,0,0,0,0,1,0,0,0,0,0,0,"Offers pharmacy students an opportunity to learn the principles for understanding, applying, evaluating, and creating successful verbal and nonverbal communication interactions in a variety of pharmacist and interprofessional settings. Through a patient-centered approach, reviews and builds on core communication skills learned in the foundational introduction to pharmacy practice courses. Topics include using effective communication approaches to detect and intervene to improve adherence, facilitate behavioral change, collaborate with other professionals, and tailor communication to special and culturally diverse patient populations.",1
BV,PHMD,3450,Research Methodology and Biostatistics,1,0,0,0,0,0,0,1,0,0,0,0,0,"Offers an interactive course covering aspects of research designs used in experimental and observational studies, hypothesis testing, and an introduction to basic biostatistics. Offers students an opportunity to critically examine selected articles from the clinical literature, to analyze the framing of the research question and the methods used to insure the validity and generalizability of the study’s findings, and to assess for potential ethical issues in research design and conduct. Clinical trials, observational studies, and problem sets illustrate principles of research design, conduct, and data analysis.",3
BV,PHMD,5223,Evidence-Based Medicine,0,0,0,0,0,0,0,0,0,0,1,0,0,"Studies the principles of evidence-based medicine and how to apply them to patient-centered care. Offers students an opportunity to develop skills in critical appraisal of the scientific literature and practical application of the evidence to clinical decision making. Consists of didactic instruction, in-class group projects, and a group-based written assignment. Applies principles of research methodology, biostatistics, and professional writing.",2
BV,PHMD,5560,Applied Drug Information,0,0,0,0,0,0,0,0,0,0,1,0,0,"Offers students an opportunity to obtain the skills necessary to become effective providers of drug information. An effective provider assesses drug information needs and evaluates, applies, and communicates data from the published literature and other sources to optimize patient care. Designed to help students develop applied drug information skills important to the pharmacist in areas of formulary support, health informatics, medication error and adverse event reporting, and quality assurance. Students complete a variety of active learning exercises, including multiple evidence-based written drug information responses and a current events analysis. Emphasizes writing for a variety of audiences, including pharmacists, other healthcare providers, and the lay public, as well as use of peer review.",1
BV,PHMD,5600,Pharmacy Capstone,0,0,0,0,0,0,0,0,0,0,1,0,1,"Acts as a final integrator of the major, general education, and experiential aspects of the student’s education. Expects students to demonstrate motivation and initiative and to work cooperatively with their faculty mentor, community partners, and fellow students (where applicable) in order to complete a comprehensive, high-quality scholarly work (e.g., a research project, educational project, administrative project, business plan, case report, or community-service learning project or professional manuscript) appropriate for dissemination to the university and professional community. The timeline for completion is set by the faculty mentor and agreed to by the individual or all members of the student group. May be repeated once.",2
BV,PHSC,2400,Research Ethics for Beginning Health Scientists,0,0,0,0,0,0,0,1,0,0,0,0,0,Explores various dimensions of ethical research. Introduces ethical foundations and controversies that are central to understanding and developing appropriate ethical frameworks for engaging in research. Requires students to work collaboratively to carefully develop essential skills for ethical analysis and evaluation of professional code of conduct concerns.,5
